Type,Label,Code
Target Audience Type,Webinar_RT,41313221
Target Audience Type,ZG B - Update 280725,40863286
Target Audience Type,ZG D - Branchen-Test - JB,40863320
Target Audience Type,ZG D - Branchen-Test,40839446
Target Audience Type,ZG B - LeadGen Phase,40868307
Target Audience Type,Awareness - Gewinner ZG,40809858
Target Audience Type,ZG B - Update 170725,40849047
Target Audience Type,ZG_C StB DE 1-500MA,40169700
Target Audience Type,ZG B - JB CxO BR IT,40753368
Target Audience Type,270625-AW-PA-B-JB,40800929
Target Audience Type,270625-AW-PA,40803891
Target Audience Type,ZG A - TB KS DE BR IT,40746720
Target Audience Type,IT-Entscheider 20052025,40737305
